Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
NVDA,NVIDIA CORP,Information Technology,Equity,"1,518,012,369.00",7.70,"1,518,012,369.00","6,439,350.00",235.74,United States,NASDAQ,USD,1.00,--
AAPL,APPLE INC,Information Technology,Equity,"1,182,030,185.71",6.00,"1,182,030,185.71","3,963,751.00",298.21,United States,NASDAQ,USD,1.00,--
MSFT,MICROSOFT CORP,Information Technology,Equity,"835,456,245.05",4.24,"835,456,245.05","2,040,535.00",409.43,United States,NASDAQ,USD,1.00,--
AMZN,AMAZON.COM INC,Consumer Discretionary,Equity,"705,269,203.26",3.58,"705,269,203.26","2,639,283.00",267.22,United States,NASDAQ,USD,1.00,--
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"641,436,865.98",3.26,"641,436,865.98","1,599,314.00",401.07,United States,NASDAQ,USD,1.00,--
AVGO,BROADCOM INC,Information Technology,Equity,"558,825,320.56",2.84,"558,825,320.56","1,270,664.00",439.79,United States,NASDAQ,USD,1.00,--
GOOG,ALPHABET INC CLASS C,Communication,Equity,"517,206,291.93",2.62,"517,206,291.93","1,302,229.00",397.17,United States,NASDAQ,USD,1.00,--
META,META PLATFORMS INC CLASS A,Communication,Equity,"371,508,217.04",1.89,"371,508,217.04","600,728.00",618.43,United States,NASDAQ,USD,1.00,--
TSLA,TESLA INC,Consumer Discretionary,Equity,"344,146,202.40",1.75,"344,146,202.40","776,328.00",443.30,United States,NASDAQ,USD,1.00,--
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"245,497,805.84",1.25,"245,497,805.84","507,164.00",484.06,United States,NYSE,USD,1.00,--
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,"238,449,248.76",1.21,"238,449,248.76","307,276.00",776.01,United States,NASDAQ,USD,1.00,--
JPM,JPMORGAN CHASE & CO,Financials,Equity,"224,228,611.23",1.14,"224,228,611.23","747,653.00",299.91,United States,NYSE,USD,1.00,--
LLY,ELI LILLY,Health Care,Equity,"221,803,190.90",1.13,"221,803,190.90","220,327.00","1,006.70",United States,NYSE,USD,1.00,--
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"199,256,223.90",1.01,"199,256,223.90","443,087.00",449.70,United States,NASDAQ,USD,1.00,--
XOM,EXXON MOBIL CORP,Energy,Equity,"177,539,068.46",0.90,"177,539,068.46","1,162,057.00",152.78,United States,NYSE,USD,1.00,--
WMT,WALMART INC,Consumer Staples,Equity,"158,458,056.66",0.80,"158,458,056.66","1,196,271.00",132.46,United States,NASDAQ,USD,1.00,--
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"152,856,532.00",0.78,"152,856,532.00","662,290.00",230.80,United States,NYSE,USD,1.00,--
V,VISA INC CLASS A,Financials,Equity,"149,280,962.16",0.76,"149,280,962.16","462,858.00",322.52,United States,NYSE,USD,1.00,--
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"140,704,472.86",0.71,"140,704,472.86","1,213,702.00",115.93,United States,NASDAQ,USD,1.00,--
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"127,190,770.00",0.65,"127,190,770.00","122,152.00","1,041.25",United States,NASDAQ,USD,1.00,--
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"126,608,402.76",0.64,"126,608,402.76","1,095,892.00",115.53,United States,NASDAQ,USD,1.00,--
CAT,CATERPILLAR INC,Industrials,Equity,"117,195,538.32",0.59,"117,195,538.32","127,356.00",920.22,United States,NYSE,USD,1.00,--
MA,MASTERCARD INC CLASS A,Financials,Equity,"108,386,486.56",0.55,"108,386,486.56","221,224.00",489.94,United States,NYSE,USD,1.00,--
LRCX,LAM RESEARCH CORP,Information Technology,Equity,"103,372,179.95",0.52,"103,372,179.95","345,553.00",299.15,United States,NASDAQ,USD,1.00,--
ABBV,ABBVIE INC,Health Care,Equity,"102,752,482.70",0.52,"102,752,482.70","487,510.00",210.77,United States,NYSE,USD,1.00,--
NFLX,NETFLIX INC,Communication,Equity,"101,364,128.46",0.51,"101,364,128.46","1,165,909.00",86.94,United States,NASDAQ,USD,1.00,--
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"99,903,401.52",0.51,"99,903,401.52","250,328.00",399.09,United States,NYSE,USD,1.00,--
CVX,CHEVRON CORP,Energy,Equity,"96,209,187.20",0.49,"96,209,187.20","515,480.00",186.64,United States,NYSE,USD,1.00,--
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"96,151,338.88",0.49,"96,151,338.88","218,248.00",440.56,United States,NASDAQ,USD,1.00,--
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"92,104,605.87",0.47,"92,104,605.87","645,397.00",142.71,United States,NYSE,USD,1.00,--
ORCL,ORACLE CORP,Information Technology,Equity,"90,693,598.45",0.46,"90,693,598.45","463,645.00",195.61,United States,NYSE,USD,1.00,--
BAC,BANK OF AMERICA CORP,Financials,Equity,"90,056,268.25",0.46,"90,056,268.25","1,806,545.00",49.85,United States,NYSE,USD,1.00,--
KO,COCA-COLA,Consumer Staples,Equity,"85,982,305.15",0.44,"85,982,305.15","1,068,767.00",80.45,United States,NYSE,USD,1.00,--
GE,GE AEROSPACE,Industrials,Equity,"83,476,356.66",0.42,"83,476,356.66","286,329.00",291.54,United States,NYSE,USD,1.00,--
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"83,292,986.25",0.42,"83,292,986.25","273,675.00",304.35,United States,NYSE,USD,1.00,--
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"82,341,515.50",0.42,"82,341,515.50","429,175.00",191.86,United States,NYSE,USD,1.00,--
GEV,GE VERNOVA INC,Industrials,Equity,"81,035,103.24",0.41,"81,035,103.24","74,308.00","1,090.53",United States,NYSE,USD,1.00,--
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,"80,277,985.27",0.41,"80,277,985.27","600,299.00",133.73,United States,NASDAQ,USD,1.00,--
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,"78,429,560.32",0.40,"78,429,560.32","80,942.00",968.96,United States,NYSE,USD,1.00,--
MRK,MERCK & CO INC,Health Care,Equity,"77,548,510.49",0.39,"77,548,510.49","683,789.00",113.41,United States,NYSE,USD,1.00,--
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"76,981,174.17",0.39,"76,981,174.17","249,801.00",308.17,United States,NASDAQ,USD,1.00,--
KLAC,KLA CORP,Information Technology,Equity,"68,488,462.14",0.35,"68,488,462.14","36,181.00","1,892.94",United States,NASDAQ,USD,1.00,--
LIN,LINDE PLC,Materials,Equity,"66,197,788.65",0.34,"66,197,788.65","129,381.00",511.65,United States,NASDAQ,USD,1.00,--
RTX,RTX CORP,Industrials,Equity,"64,619,847.36",0.33,"64,619,847.36","367,827.00",175.68,United States,NYSE,USD,1.00,--
WFC,WELLS FARGO,Financials,Equity,"62,896,382.30",0.32,"62,896,382.30","852,370.00",73.79,United States,NYSE,USD,1.00,--
MS,MORGAN STANLEY,Financials,Equity,"60,788,874.23",0.31,"60,788,874.23","312,491.00",194.53,United States,NYSE,USD,1.00,--
C,CITIGROUP INC,Financials,Equity,"59,395,971.46",0.30,"59,395,971.46","475,853.00",124.82,United States,NYSE,USD,1.00,--
QCOM,QUALCOMM INC,Information Technology,Equity,"58,930,162.64",0.30,"58,930,162.64","294,533.00",200.08,United States,NASDAQ,USD,1.00,--
ADI,ANALOG DEVICES INC,Information Technology,Equity,"57,472,394.98",0.29,"57,472,394.98","134,662.00",426.79,United States,NASDAQ,USD,1.00,--
PEP,PEPSICO INC,Consumer Staples,Equity,"55,989,122.00",0.28,"55,989,122.00","376,600.00",148.67,United States,NASDAQ,USD,1.00,--
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"55,928,487.66",0.28,"55,928,487.66","256,118.00",218.37,United States,NYSE,USD,1.00,--
NEE,NEXTERA ENERGY INC,Utilities,Equity,"54,897,930.88",0.28,"54,897,930.88","573,766.00",95.68,United States,NYSE,USD,1.00,--
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"54,722,638.62",0.28,"54,722,638.62","1,162,827.00",47.06,United States,NYSE,USD,1.00,--
SNDK,SANDISK CORP,Information Technology,Equity,"54,491,612.48",0.28,"54,491,612.48","39,409.00","1,382.72",United States,NASDAQ,USD,1.00,--
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"53,987,059.86",0.27,"53,987,059.86","196,338.00",274.97,United States,NYSE,USD,1.00,--
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,"52,548,887.79",0.27,"52,548,887.79","220,599.00",238.21,United States,NASDAQ,USD,1.00,--
DIS,WALT DISNEY,Communication,Equity,"51,603,406.26",0.26,"51,603,406.26","489,503.00",105.42,United States,NYSE,USD,1.00,--
AMGN,AMGEN INC,Health Care,Equity,"49,747,918.34",0.25,"49,747,918.34","147,958.00",336.23,United States,NASDAQ,USD,1.00,--
BA,BOEING,Industrials,Equity,"47,548,239.24",0.24,"47,548,239.24","207,444.00",229.21,United States,NYSE,USD,1.00,--
T,AT&T INC,Communication,Equity,"46,841,754.10",0.24,"46,841,754.10","1,900,274.00",24.65,United States,NYSE,USD,1.00,--
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"46,519,715.90",0.24,"46,519,715.90","103,790.00",448.21,United States,NYSE,USD,1.00,--
